iteration [];theta [°];theta [rad];Couple [Nm];omega [rad/s]
597;141.805769;2.474978;0.028643;129.167400
598;178.891559;3.122247;0.033391;129.453827
599;216.073005;3.771185;0.012185;129.787733
600;253.289359;4.420733;0.022881;129.909581
601;290.571261;5.071425;0.028506;130.138388
602;327.934828;5.723542;0.032409;130.423453
603;5.391241;0.094095;0.012052;130.747546
604;42.882179;0.748435;0.023315;130.868062
605;80.439911;1.403941;0.027555;131.101216
606;118.076581;2.060825;0.034983;131.376763
607;155.813470;2.719458;0.011586;131.726592
608;193.583549;3.378670;0.022990;131.842448
609;231.419490;4.039032;0.029512;132.072349
610;269.339975;4.700869;0.030187;132.367464
611;307.346941;5.364216;0.015679;132.669338
612;345.398823;6.028347;0.025336;132.826128
613;23.523290;0.410559;0.030074;133.079492
614;61.733912;1.077460;0.001582;133.380234
615;99.949067;1.744440;0.018423;133.396055
616;138.217000;2.412342;0.028069;133.580287
617;176.565346;3.081647;0.035964;133.860981
618;215.016722;3.752750;0.010318;134.220620
619;253.497657;4.424369;0.022960;134.323804
620;292.044368;5.097136;0.033527;134.553406
621;330.687127;5.771579;-0.000889;134.888673
622;9.327337;0.162793;0.017947;134.879779
623;48.018961;0.838089;0.028662;135.059247
624;86.792695;1.514818;0.033594;135.345865
